subid, subage, version, counter, mod, targetname, response, chosetarget, targetname,modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside 
0,0,v3,1,new,koba,no,TRUE,koba,new,7/8/19,12:17,2889,2,right,right
0,0,v3,2,,wug,yes,FALSE,wug,nomodifier,7/8/19,12:17,2415,1,left,right
0,0,v3,3,,toma,no,TRUE,toma,nomodifier,7/8/19,12:17,2349,1,left,left
0,0,v3,4,new,blicket,no,FALSE,blicket,new,7/8/19,12:17,2389,1,left,right
0,0,v3,5,new,sprock,yes,TRUE,sprock,new,7/8/19,12:17,1699,1,left,left
0,0,v3,6,,zorp,yes,FALSE,zorp,nomodifier,7/8/19,12:17,1877,1,left,right
0,0,v3,7,new,gade,yes,FALSE,gade,new,7/8/19,12:17,2705,2,right,left
0,0,v3,8,,boti,no,TRUE,boti,nomodifier,7/8/19,12:17,5679,2,right,right
1,6,v3,1,new,blicket,no,TRUE,blicket,new,7/8/19,11:05,15328,2,right,right
1,6,v3,2,new,gade,yes,TRUE,gade,new,7/8/19,11:05,3415,2,right,right
1,6,v3,3,new,sprock,yes,TRUE,sprock,new,7/8/19,11:05,2711,2,right,right
1,6,v3,4,,wug,yes,TRUE,wug,nomodifier,7/8/19,11:05,2759,1,left,left
1,6,v3,5,,zorp,yes,TRUE,zorp,nomodifier,7/8/19,11:05,2704,1,left,left
1,6,v3,6,new,koba,no,TRUE,koba,new,7/8/19,11:05,3846,2,right,right
1,6,v3,7,,toma,no,TRUE,toma,nomodifier,7/8/19,11:05,2978,2,right,right
1,6,v3,8,,boti,no,TRUE,boti,nomodifier,7/8/19,11:05,4394,1,left,left
subid, subage, version, counter, mod, targetname, response, chosetarget, targetname,modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside 
3,5,v2,1,,koba,no,FALSE,koba,nomodifier,7/8/19,11:26,9696,2,right,left
subid, subage, version, counter, mod, targetname, response, chosetarget, targetname,modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside 
2,5,v3,1,,zorp,yes,TRUE,zorp,nomodifier,7/8/19,11:26,3494,1,left,left
3,5,v2,2,new,wug,yes,FALSE,wug,new,7/8/19,11:26,12261,2,right,left
2,5,v3,2,new,sprock,yes,TRUE,sprock,new,7/8/19,11:26,6231,1,left,left
3,5,v2,3,,sprock,yes,TRUE,sprock,nomodifier,7/8/19,11:26,9013,2,right,right
3,5,v2,4,new,toma,no,FALSE,toma,new,7/8/19,11:26,5462,2,right,left
2,5,v3,3,new,gade,yes,FALSE,gade,new,7/8/19,11:26,9129,2,right,left
3,5,v2,5,,gade,yes,FALSE,gade,nomodifier,7/8/19,11:26,6151,2,right,left
2,5,v3,4,,wug,yes,FALSE,wug,nomodifier,7/8/19,11:26,7829,1,left,right
3,5,v2,6,new,boti,no,TRUE,boti,new,7/8/19,11:26,3367,1,left,left
4,3,v1,1,new,blicket,yes,FALSE,blicket,new,7/8/19,10:57,22084,2,right,left
2,5,v3,5,,toma,no,FALSE,toma,nomodifier,7/8/19,11:26,9797,1,left,right
3,5,v2,7,,blicket,no,FALSE,blicket,nomodifier,7/8/19,11:26,5034,2,right,left
2,5,v3,6,,boti,no,FALSE,boti,nomodifier,7/8/19,11:26,6052,2,right,left
3,5,v2,8,new,zorp,yes,TRUE,zorp,new,7/8/19,11:26,5435,1,left,left
4,3,v1,2,,toma,yes,FALSE,toma,nomodifier,7/8/19,10:57,7011,1,left,right
4,3,v1,3,,boti,yes,FALSE,boti,nomodifier,7/8/19,10:57,9568,1,left,right
